time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-08-12T17:51:21.770Z,13.962,120.6702,193.99,4.8,mb,,40,0.293,0.86,us,us2000a7lw,2017-10-25T00:38:10.040Z,"2km NNE of Bungahan, Philippines",earthquake,8.7,4.6,0.047,138,reviewed,us,us
2017-08-11T23:22:39.380Z,13.9033,120.7109,110.25,4.5,mb,,70,0.295,0.59,us,us2000a8s7,2017-10-25T00:38:08.040Z,"4km SSW of Balayan, Philippines",earthquake,10.5,5.5,0.09,36,reviewed,us,us
2017-08-11T05:28:25.790Z,14.0065,120.7391,172,6.2,mww,,17,0.214,0.81,us,us2000a77i,2017-10-25T00:38:08.040Z,"1km SE of Tuy, Philippines",earthquake,6.6,1.9,0.045,47,reviewed,us,us
2017-07-29T06:31:31.160Z,14.866,119.7776,62.23,4.5,mb,,103,1.355,0.63,us,us2000a406,2017-10-14T00:19:45.040Z,"33km WSW of San Nicolas, Philippines",earthquake,7.3,8.4,0.14,15,reviewed,us,us
2017-06-21T01:18:52.110Z,14.0495,121.2239,10,4.3,mb,,158,0.283,0.69,us,us20009q1a,2017-08-23T16:35:50.040Z,"0km E of San Andres, Philippines",earthquake,8,1.9,0.133,16,reviewed,us,us
2017-05-25T14:27:04.790Z,15.0447,120.3494,75.46,5.3,mww,,83,7.762,1.14,us,us10008vb2,2017-08-10T01:34:02.040Z,"15km ENE of Santa Fe, Philippines",earthquake,7.2,4,0.061,26,reviewed,us,us
2017-05-09T19:06:26.400Z,13.6403,121.2225,147.34,4.6,mb,,98,0.536,0.71,us,us10008qyc,2017-08-01T23:02:23.040Z,"1km SE of Lobo, Philippines",earthquake,10.6,6.1,0.075,52,reviewed,us,us
2017-04-29T04:33:04.900Z,13.6496,120.5714,171.97,4.4,mb,,127,8.69,1.14,us,us10008ly5,2017-07-21T02:32:11.040Z,"21km SSW of Calatagan, Philippines",earthquake,8,7.7,0.07,59,reviewed,us,us
2017-04-23T05:52:45.640Z,13.8921,120.8173,174.79,4.2,mb,,110,8.238,0.59,us,us10008n7f,2017-07-21T02:32:02.040Z,"3km SW of Sinisian, Philippines",earthquake,6.2,8.2,0.095,31,reviewed,us,us
2017-04-17T14:46:57.900Z,13.7673,121.0247,113.77,4.3,mb,,129,0.343,0.85,us,us10008jl6,2017-07-11T01:48:35.040Z,"0km SSW of Santa Rita Aplaya, Philippines",earthquake,15.1,5.9,0.16,11,reviewed,us,us
2017-04-09T03:14:12.580Z,13.738,121.1016,10,4.8,mb,,130,8.884,0.75,us,us10008fza,2017-07-05T18:09:53.040Z,"4km ESE of Santa Clara, Philippines",earthquake,6.2,1.9,0.059,87,reviewed,us,us
2017-04-08T17:26:39.070Z,13.7671,120.864,24.1,4.5,mb,,125,0.34,0.62,us,us10008fw4,2017-06-23T07:26:36.040Z,"4km WNW of Solo, Philippines",earthquake,10.8,6.3,0.089,39,reviewed,us,us
2017-04-08T15:57:20.910Z,13.7248,121.0604,15.48,4.6,mb,,127,0.393,0.75,us,us10008h9k,2017-06-23T07:26:36.040Z,"1km SSE of Wawa, Philippines",earthquake,9.8,5.8,0.136,16,reviewed,us,us
2017-04-08T15:22:53.290Z,13.641,120.8929,10,4.7,mb,,127,8.734,1.31,us,us10008fv3,2017-06-23T07:26:36.040Z,"3km SE of Tingloy, Philippines",earthquake,11.5,1.2,0.099,31,reviewed,us,us
2017-04-08T08:36:35.580Z,13.6486,121.1318,10,4.7,mb,,117,0.489,1,us,us10008ft1,2017-06-23T07:26:36.040Z,"1km SSW of Talahib Payap, Philippines",earthquake,6.5,1.9,0.071,61,reviewed,us,us
2017-04-08T07:29:09.630Z,13.776,121.1158,10,5,mb,,112,0.367,0.95,us,us10008fse,2017-06-23T07:26:35.040Z,"4km SSW of Ibaan, Philippines",earthquake,9.1,1.9,0.056,102,reviewed,us,us
2017-04-08T07:09:23.180Z,13.7701,120.9354,14.26,5.9,mww,,50,8.073,0.78,us,us10008fsd,2017-09-24T01:08:17.232Z,"1km NNW of Mabini, Philippines",earthquake,7.6,3.7,0.068,21,reviewed,us,us
2017-04-08T07:07:56.660Z,13.7049,120.9305,10.22,5.5,mww,,35,0.395,0.72,us,us10008fsc,2017-06-23T07:26:35.040Z,"3km S of Talaga, Philippines",earthquake,7.3,3.9,0.086,13,reviewed,us,us
2017-04-05T14:32:41.030Z,13.6561,121.1796,9.76,4.6,mb,,128,0.502,0.71,us,us10008em0,2017-06-23T07:26:32.040Z,"1km NNW of Banalo, Philippines",earthquake,4.3,5.3,0.083,44,reviewed,us,us
2017-04-04T16:49:02.250Z,13.7668,120.9709,10,5.2,mb,,87,8.876,0.88,us,us10008ecq,2017-06-23T07:26:30.040Z,"2km SSW of Bolo, Philippines",earthquake,8.2,1.8,0.046,153,reviewed,us,us
2017-04-04T15:13:47.100Z,13.6826,121.1344,10,5.3,mb,,106,8.841,0.87,us,us10008ebu,2017-06-23T07:26:30.040Z,"2km N of Talahib Payap, Philippines",earthquake,9.1,1.9,0.059,98,reviewed,us,us
2017-04-04T14:44:21.440Z,13.5884,121.0822,10,4.9,mb,,107,8.898,0.65,us,us10008ebn,2017-06-23T07:26:30.040Z,"4km S of Ilijan, Philippines",earthquake,9.4,1.9,0.065,75,reviewed,us,us
2017-04-04T14:10:00.700Z,13.5557,120.9681,10,4.7,mb,,125,8.673,0.76,us,us10008eal,2017-06-23T07:26:30.040Z,"5km N of Sabang, Philippines",earthquake,10,1.9,0.064,74,reviewed,us,us
2017-04-04T13:00:08.270Z,13.706,121.2699,11.74,4.7,mb,,99,0.509,0.55,us,us10008gih,2017-06-23T07:26:29.040Z,"8km SSE of San Isidro, Philippines",earthquake,8.2,6,0.166,13,reviewed,us,us
2017-04-04T12:58:45.540Z,13.5863,121.0513,18.16,5.1,mww,,67,0.524,0.93,us,us10008ea7,2017-06-27T02:03:25.219Z,"5km SSW of Ilijan, Philippines",earthquake,7.7,3.1,0.062,25,reviewed,us,us
2017-03-25T22:16:59.300Z,15.9689,119.3876,38.3,4.6,mb,,107,6.997,0.65,us,us20008upk,2017-06-12T19:46:57.040Z,"40km W of Ilioilio, Philippines",earthquake,9.3,7.4,0.062,76,reviewed,us,us
2017-03-18T21:03:02.330Z,16.7223,120.5949,93.7,4.6,mb,,107,6.081,0.82,us,us20008t2h,2017-06-07T00:33:44.040Z,"4km W of Tacadang, Philippines",earthquake,6.6,6.5,0.062,77,reviewed,us,us
2017-03-16T17:28:35.690Z,13.9269,120.8018,203.74,4.4,mb,,103,8.847,0.76,us,us20008sij,2017-06-07T00:33:41.040Z,"1km WSW of Calaca, Philippines",earthquake,9.6,7.4,0.065,68,reviewed,us,us
2017-03-14T14:06:14.220Z,13.6355,120.8171,117.55,4.2,mb,,120,28.828,0.66,us,us20008tr9,2017-06-07T00:33:38.040Z,"6km WSW of Tingloy, Philippines",earthquake,14.7,8.8,0.1,28,reviewed,us,us
2017-03-13T02:48:50.340Z,13.919,120.6778,164.24,4.6,mb,,86,8.338,0.73,us,us100088l9,2017-06-07T00:33:37.040Z,"3km SSE of Bungahan, Philippines",earthquake,10,7.2,0.045,147,reviewed,us,us
2017-03-01T05:10:55.870Z,13.8901,120.6107,190.22,4.5,mb,,109,8.904,0.85,us,us100085wk,2017-05-24T02:48:11.040Z,"2km NW of Gulod, Philippines",earthquake,11.3,7.7,0.067,66,reviewed,us,us
2017-02-08T20:54:24.900Z,13.9714,120.868,147.35,4.3,mb,,155,9.044,0.44,us,us20008kxn,2017-05-09T01:24:31.040Z,"3km SW of Payapa, Philippines",earthquake,7.2,10.5,0.137,15,reviewed,us,us
2017-01-26T22:55:08.030Z,13.5776,120.4737,61.42,4.5,mb,,80,8.571,0.27,us,us20008iqt,2017-04-19T18:31:01.040Z,"14km NNE of Harrison, Philippines",earthquake,12.6,10.2,0.145,14,reviewed,us,us
2017-01-23T14:02:05.720Z,13.8456,120.7431,144.4,4.3,mb,,128,14.928,0.76,us,us20008i7d,2017-04-19T18:30:56.040Z,"4km E of Hukay, Philippines",earthquake,16.5,1.8,0.137,15,reviewed,us,us
2016-12-27T04:07:47.260Z,15.5175,120.0176,80.38,4.6,mb,,117,7.33,0.95,us,us10007t4i,2017-03-23T22:52:04.040Z,"6km ENE of San Lorenzo, Philippines",earthquake,14.6,8.5,0.129,18,reviewed,us,us
2016-12-23T19:48:25.350Z,16.7509,120.4305,102.01,4.4,mb,,112,6.066,1.39,us,us10007mc1,2017-03-23T22:52:00.040Z,"3km SW of Santol, Philippines",earthquake,10,8.4,0.084,41,reviewed,us,us
2016-12-20T17:16:39.250Z,16.0975,119.5973,56.75,5,mb,,106,6.829,0.89,us,us200082vz,2017-03-16T02:31:31.040Z,"20km W of Aloleng, Philippines",earthquake,7.3,6.8,0.041,186,reviewed,us,us
2016-12-20T13:51:17.200Z,16.0903,119.6652,50.18,5,mb,,42,6.823,0.85,us,us200082tu,2017-03-16T02:31:31.040Z,"13km WSW of Aloleng, Philippines",earthquake,8.6,6.8,0.048,138,reviewed,us,us
2016-12-19T04:57:41.270Z,13.4344,120.6567,74.78,4.5,mb,,130,8.476,0.5,us,us10007rcr,2017-03-16T02:31:29.040Z,"7km W of Abra de Ilog, Philippines",earthquake,13.7,9,0.132,17,reviewed,us,us
2016-12-17T19:43:38.120Z,16.0164,119.7357,39.76,4.6,mb,,108,6.883,0.81,us,us10007psc,2017-03-16T02:31:26.040Z,"6km NNW of Ilioilio, Philippines",earthquake,9,8,0.081,45,reviewed,us,us
2016-11-25T07:48:34.060Z,13.3571,120.3345,89.75,4.5,mb,,115,8.327,0.81,us,us10007c8f,2017-02-23T00:11:46.040Z,"14km SW of Harrison, Philippines",earthquake,13.5,8.7,0.099,30,reviewed,us,us
2016-11-13T23:56:44.810Z,13.8639,120.6737,126.54,4.7,mb,,58,8.296,0.91,us,us100077hk,2017-02-09T03:02:25.040Z,"3km WNW of Hukay, Philippines",earthquake,7.5,6.2,0.053,106,reviewed,us,us
2016-11-10T07:11:05.710Z,14.7872,121.4228,59.24,4.8,mb,,121,7.994,1.11,us,us100076lm,2017-02-02T02:21:05.040Z,"20km N of Daraitan, Philippines",earthquake,9.5,8,0.092,37,reviewed,us,us
2016-10-12T01:39:24.980Z,13.6122,120.7971,124.01,5.2,mb,,41,0.505,1.04,us,us20007dbj,2017-01-07T00:20:51.040Z,"9km SW of Tingloy, Philippines",earthquake,7.7,4.3,0.042,191,reviewed,us,us
2016-10-09T15:04:54.270Z,14.8368,119.2417,39.84,4.7,mb,,56,1.797,0.81,us,us20007cye,2017-01-07T00:20:47.040Z,"90km W of San Nicolas, Philippines",earthquake,7.3,7.5,0.058,91,reviewed,us,us
2016-10-09T01:42:52.130Z,13.8785,120.6964,90.82,4.6,mb,,114,0.322,0.66,us,us20007cvw,2017-01-07T00:20:47.040Z,"3km N of Hukay, Philippines",earthquake,10.4,5.9,0.083,43,reviewed,us,us
2016-10-08T07:32:49.370Z,13.6579,120.7072,118.7,5.1,mb,,95,0.494,1.11,us,us20007crs,2017-01-07T00:20:45.040Z,"17km W of Tingloy, Philippines",earthquake,5.9,5.7,0.075,58,reviewed,us,us
2016-10-02T13:40:04.750Z,16.4787,119.7489,10,5.4,mww,,51,2.626,0.88,us,us10006ui7,2017-01-03T21:10:41.040Z,"17km NW of Balingasay, Philippines",earthquake,4.9,1.6,,,reviewed,us,us
